,Unnamed: 0,Ram,Storage,Battery,Price,Brand,Color,Front_cam,Rear_cam,display,Display_type
0,0,4,64,49,9999,9,1,0.3,50.0,6.5,2
1,1,6,128,49,13499,9,0,2.0,50.0,6.6,2
2,2,8,128,49,25999,9,1,8.0,108.0,6.7,2
3,3,8,256,49,27999,9,1,8.0,108.0,6.7,2
4,4,8,128,49,25999,9,0,8.0,108.0,6.7,2
5,5,4,64,49,14999,9,0,2.0,50.0,6.6,2
6,6,6,128,49,24999,9,1,8.0,108.0,6.7,2
7,7,6,128,49,24999,9,0,8.0,108.0,6.7,2
8,8,6,128,49,24999,9,0,8.0,108.0,6.7,2
9,9,4,64,49,14999,9,4,2.0,50.0,6.6,2
10,10,8,128,49,18999,9,0,2.0,48.0,6.6,2
11,11,8,128,49,18999,9,0,2.0,48.0,6.6,2
12,12,8,128,49,25999,9,0,8.0,108.0,6.7,2
13,13,2,32,49,6999,9,0,8.0,8.0,6.5,2
14,14,4,64,49,14999,9,1,2.0,50.0,6.6,2
15,15,6,128,49,16999,9,0,2.0,50.0,6.6,2
16,16,2,32,49,6999,9,1,8.0,8.0,6.5,2
17,17,6,128,49,13499,9,1,2.0,50.0,6.6,2
18,18,4,64,49,12639,9,0,2.0,50.0,6.6,2
19,19,6,128,49,16999,9,4,2.0,50.0,6.6,2
20,20,4,64,49,11999,9,0,2.0,50.0,6.6,2
21,21,4,64,49,8499,9,1,8.0,8.0,6.5,2
22,22,4,128,49,12999,9,0,2.0,50.0,6.6,2
23,23,6,128,49,16999,9,1,2.0,50.0,6.6,2
24,24,4,64,49,8499,9,1,8.0,8.0,6.5,2
25,25,6,128,49,16999,9,1,2.0,50.0,6.6,2
26,26,4,128,49,12999,9,0,2.0,50.0,6.6,2
27,27,2,32,49,7499,9,6,8.0,8.0,6.5,2
28,28,2,32,49,7499,9,1,8.0,8.0,6.5,2
29,29,6,128,49,22999,9,0,8.0,64.0,6.62,0
30,30,8,256,49,26999,9,0,8.0,64.0,6.62,0
31,31,6,128,49,13999,9,0,2.0,50.0,6.6,2
32,32,4,128,49,11990,9,1,8.0,50.0,6.6,1
33,33,4,64,49,11999,9,5,2.0,50.0,6.6,2
34,34,8,128,49,16999,9,0,2.0,50.0,6.4,2
35,35,4,64,49,10772,9,1,8.0,50.0,6.6,2
36,36,4,64,49,10538,9,0,8.0,50.0,6.6,2
37,37,4,64,49,8999,9,6,8.0,8.0,6.5,2
38,38,4,64,49,8999,9,1,8.0,8.0,6.5,2
39,39,8,128,49,16999,9,11,2.0,50.0,6.4,2
40,40,4,64,49,13999,9,11,2.0,50.0,6.4,2
41,41,4,128,49,12999,9,5,2.0,50.0,6.6,2
42,42,2,32,49,7499,9,6,8.0,8.0,6.5,2
43,43,2,32,49,7499,9,1,8.0,8.0,6.5,2
44,44,4,64,49,10589,9,1,8.0,50.0,6.6,1
45,45,3,32,49,6299,9,1,8.0,8.0,6.5,2
46,46,3,32,49,6299,9,0,8.0,8.0,6.5,2
47,47,12,256,49,31999,9,0,8.0,50.0,6.62,0
48,48,8,128,49,27999,9,5,8.0,50.0,6.62,0
49,49,4,64,49,8879,9,5,8.0,8.0,6.5,1
50,50,12,256,49,31999,9,0,8.0,50.0,6.62,0
51,51,4,128,49,16499,9,1,2.0,48.0,6.5,2
52,52,4,64,49,8788,9,1,8.0,8.0,6.5,1
53,53,4,64,49,8999,9,5,8.0,8.0,6.5,1
54,54,4,64,55,10680,9,6,2.0,13.0,6.5,2
55,55,4,64,55,10770,9,1,2.0,13.0,6.5,2
56,56,4,64,49,9999,9,10,2.0,13.0,6.52,1
57,57,3,32,49,7949,9,1,8.0,8.0,6.5,1
58,58,3,32,49,9299,9,10,2.0,13.0,6.52,1
59,59,8,256,49,26999,9,11,8.0,64.0,6.62,0
60,60,6,128,49,22999,9,11,8.0,64.0,6.62,0
61,61,8,256,49,26999,9,12,8.0,64.0,6.62,0
62,62,4,128,49,16499,9,0,2.0,48.0,6.5,2
63,63,4,64,49,15999,9,11,2.0,48.0,6.5,2
64,64,4,64,49,15999,9,1,2.0,48.0,6.5,2
65,65,4,64,49,15999,9,0,2.0,48.0,6.5,2
66,66,3,32,49,9299,9,5,2.0,13.0,6.52,1
67,67,4,128,55,11999,9,6,2.0,13.0,6.5,2
68,68,4,128,49,14999,9,1,2.0,50.0,6.6,2
69,69,4,64,49,13999,9,0,2.0,50.0,6.6,2
70,70,4,64,49,9999,9,5,2.0,13.0,6.52,1
71,71,4,64,49,10499,9,1,2.0,13.0,6.5,2
72,72,3,32,49,9499,9,1,2.0,13.0,6.5,2
73,73,3,32,49,9499,9,0,2.0,13.0,6.5,2
74,74,4,128,49,14999,9,0,2.0,50.0,6.6,2
75,75,4,64,49,10499,9,0,2.0,13.0,6.5,2
76,76,6,128,49,17499,9,11,2.0,48.0,6.5,2
77,77,8,128,49,24999,9,12,8.0,64.0,6.62,0
78,78,6,128,49,22999,9,12,8.0,64.0,6.62,0
79,79,8,128,49,24999,9,11,8.0,64.0,6.62,0
80,80,3,32,49,6299,9,5,8.0,8.0,6.5,2
81,81,4,64,49,10999,9,1,2.0,50.0,6.6,2
82,82,6,128,49,19999,9,0,2.0,48.0,6.6,2
83,83,4,64,49,8999,9,2,8.0,8.0,6.5,1
84,84,2,32,49,7180,9,5,8.0,8.0,6.5,1
85,85,6,128,49,15499,9,5,2.0,50.0,6.6,2
86,86,4,64,49,15499,9,0,2.0,48.0,6.5,2
87,87,2,32,49,7159,9,2,8.0,8.0,6.5,1
88,88,8,128,49,18499,9,0,2.0,48.0,6.5,2
89,89,6,128,49,15999,9,1,2.0,50.0,6.6,2
90,90,4,64,49,13499,9,1,2.0,50.0,6.6,2
91,91,6,128,49,15999,9,0,2.0,50.0,6.6,2
92,92,4,64,49,13499,9,0,2.0,50.0,6.6,2
93,93,6,128,49,15999,9,9,2.0,50.0,6.6,2
94,94,6,128,49,15999,9,0,2.0,50.0,6.6,2
95,95,8,128,49,24999,9,0,8.0,64.0,6.62,0
96,96,8,128,37,26999,9,0,8.0,50.0,6.4,0
97,97,6,128,37,24999,9,0,8.0,50.0,6.4,0
98,98,6,128,49,15499,9,1,2.0,48.0,6.5,2
99,99,4,64,49,15999,9,0,2.0,48.0,6.5,2
100,100,4,64,49,10999,9,6,2.0,50.0,6.5,2
101,101,8,128,37,26999,9,5,8.0,50.0,6.4,0
102,102,8,256,37,28999,9,0,8.0,50.0,6.4,0
103,103,4,64,49,13499,9,1,2.0,48.0,6.5,2
104,104,3,32,49,9499,9,0,2.0,13.0,6.5,2
105,105,8,128,49,19999,9,10,8.0,48.0,6.5,2
106,106,4,128,49,11999,9,1,2.0,50.0,6.5,2
107,107,3,32,49,9499,9,1,2.0,13.0,6.5,2
108,108,12,256,37,35999,9,0,8.0,50.0,6.7,2
109,109,6,128,49,15499,9,10,2.0,48.0,6.5,2
110,110,6,128,49,18999,9,1,8.0,64.0,6.6,2
111,111,6,128,49,17999,9,1,8.0,48.0,6.6,1
112,112,6,128,49,18999,9,0,8.0,64.0,6.6,2
113,113,4,64,49,10499,9,0,2.0,13.0,6.5,2
114,114,8,256,37,28999,9,1,8.0,50.0,6.4,0
115,115,4,128,49,15999,9,0,8.0,64.0,6.4,2
116,116,4,64,49,10499,9,1,2.0,13.0,6.5,2
117,117,8,256,37,28999,9,5,8.0,50.0,6.4,0
118,118,8,256,49,31999,9,11,8.0,50.0,6.7,2
119,119,8,256,49,31999,9,0,8.0,50.0,6.7,2
120,120,8,256,49,31999,9,1,8.0,50.0,6.7,2
121,121,3,32,49,8175,9,5,8.0,8.0,6.5,1
122,122,4,64,49,10999,9,1,2.0,50.0,6.5,2
123,123,4,128,49,16999,9,0,8.0,48.0,6.6,1
124,124,4,64,49,15390,9,0,8.0,48.0,6.6,1
125,125,6,128,49,16999,9,0,8.0,64.0,6.4,2
126,126,4,128,49,11999,9,6,2.0,50.0,6.5,2
127,127,4,64,49,10538,9,0,8.0,50.0,6.6,2
128,128,6,64,34,17999,9,7,12.0,64.0,6.6,2
129,129,4,64,49,15410,9,1,8.0,48.0,6.6,1
130,130,4,128,49,16999,9,1,8.0,48.0,6.6,1
131,131,12,256,37,35999,9,0,8.0,50.0,6.7,2
132,132,8,128,49,29999,9,1,8.0,50.0,6.7,2
133,133,4,128,49,15999,9,10,8.0,64.0,6.4,2
134,134,8,128,49,29999,9,0,8.0,50.0,6.7,2
135,135,12,256,37,35999,9,0,8.0,50.0,6.7,2
136,136,8,128,49,17999,9,0,8.0,64.0,6.4,2
137,137,6,128,49,20580,9,1,8.0,48.0,6.4,1
138,138,4,64,49,10999,9,6,2.0,50.0,6.5,2
139,139,12,256,49,35999,9,0,8.0,64.0,6.62,2
140,140,8,128,49,17999,9,4,8.0,108.0,6.4,0
141,141,8,128,49,17999,9,0,8.0,108.0,6.4,0
142,142,6,128,49,16999,9,4,8.0,108.0,6.4,0
143,143,8,128,34,27999,9,0,8.0,64.0,6.43,2
144,144,4,64,49,8999,9,1,2.0,12.0,6.52,2
145,145,4,64,49,8999,9,0,2.0,12.0,6.52,2
146,146,4,64,14,13990,9,0,2.0,16.0,6.3,2
147,147,8,128,49,31999,9,1,8.0,64.0,6.62,2
148,148,3,32,55,11999,9,1,8.0,13.0,6.52,2
149,149,3,32,49,7999,9,1,2.0,12.0,6.52,2
150,150,12,256,37,41999,9,12,8.0,64.0,6.43,2
151,151,2,32,19,7999,9,0,2.0,13.0,6.1,2
152,152,2,32,19,7999,9,1,2.0,13.0,6.1,2
153,153,8,256,34,29999,9,11,8.0,64.0,6.43,2
154,154,4,64,49,10990,9,1,2.0,50.0,6.5,2
